run_id,cv_mean_cost,colsample_bytree,gamma,grow_policy,learning_rate,max_depth,min_child_weight,reg_alpha,scale_pos_weight,subsample
97,24476.0,0.7133728461535659,0.15435495295556703,lossguide,0.6366533131026261,13,3,0.0153673338303116,1,0.9681847366905822
98,17112.0,0.7151236354106322,0.7345695190682342,depthwise,0.2881271603325451,59,2,0.02004167497566095,59,0.9114089000725399
99,17466.0,0.992207976653861,0.44536550673512926,depthwise,0.7223427054434162,89,8,0.04258359374681835,59,0.7680795342803443
100,24734.0,0.9399991442817159,0.3887346424221845,depthwise,0.5037933769819608,83,6,0.0072272770062329905,1,0.7051453163242208
101,17232.0,0.7091510283101798,0.12603349158401048,lossguide,0.4390609495253005,16,7,0.01094515828619902,59,0.6046058105158632
102,23780.0,0.6829368385547571,0.24438095589799363,depthwise,0.4408203281162205,78,3,0.03328055674855138,1,0.924760484662593
103,25630.0,0.7735459398025263,0.13853657184521945,depthwise,0.5720197745878646,66,9,0.04374808224779491,1,0.7828552003196501
104,13154.0,0.8395344182827148,0.10471351585105781,lossguide,0.06129635841142522,66,9,0.02488643520349408,59,0.7751257381856914
105,13786.0,0.7862442585958032,0.7441450456014107,lossguide,0.09011370549984879,9,5,0.04034672774698788,59,0.7168381744947292
106,18362.0,0.8481321039849531,0.47985292847965394,lossguide,0.6370449121135887,47,8,0.00554456503720146,59,0.5631647597198186
107,9644.0,0.7204591435861076,0.5158194014738614,lossguide,0.04489569426194298,3,3,0.02720050594069691,59,0.5587285610737645
108,18898.0,0.9458420934997149,0.3911871179232718,lossguide,0.4759909551959577,81,2,0.009251713409901729,59,0.7240071359479775
109,17514.0,0.7978097790136384,0.4136560943915494,depthwise,0.19672105098203932,27,1,0.01078513685799752,59,0.6950038570706232
110,17896.0,0.8319013970660291,0.17973799905329368,lossguide,0.3183357036991237,23,5,0.002165168823631186,59,0.7985422888863931
111,15738.0,0.6896960728495861,0.7174597900462157,lossguide,0.0471060113634201,15,2,0.02079243591337637,59,0.5880981277875277
112,25486.0,0.9291569182145212,0.691791448165516,depthwise,0.3753895885588602,29,8,0.045481776247577856,1,0.981631264220356
113,16922.0,0.839136247813389,0.4216581774639193,depthwise,0.06181638635222452,89,2,0.03642928339872981,59,0.6813855970780992
114,19220.0,0.8313599061876311,0.3454298217482115,lossguide,0.5670391097667222,90,1,0.011102456989996136,59,0.8854478670911857
115,15374.0,0.9506663283994753,0.1468794698871927,lossguide,0.1655287673369813,10,8,0.029771345584020784,59,0.7414683724794731
116,18088.0,0.7054056749610929,0.44674151889336394,lossguide,0.4322161147719955,88,7,0.041957947177756444,59,0.5075094903710612
117,16140.0,0.888985803908191,0.6430027384184888,depthwise,0.46876602809890594,12,6,0.033820662299705886,59,0.7809662289771787
118,18496.0,0.6910513760157586,0.25016002443818286,lossguide,0.45868380162346445,98,1,0.012286129625026683,59,0.8995146999134351
119,16650.0,0.6017732560320451,0.6165809043463228,lossguide,0.7223427054434162,50,8,0.009970971730379844,59,0.7680795342803443
120,18552.0,0.5793724706611038,0.5486329820408443,lossguide,0.5127419633838614,72,7,0.045452088720773665,59,0.6989697602796158
121,17604.0,0.8389004457171556,0.18612399674867586,lossguide,0.6087536083946644,24,5,0.022920966285048635,59,0.9700537411666836
122,24498.0,0.6374301403275875,0.4411195949657896,depthwise,0.42941413720333976,73,7,0.02544767404602942,1,0.9526523225049256
123,16852.0,0.649802565992395,0.48283473130967824,depthwise,0.4707056483064659,8,8,0.02847472063726879,59,0.7963549691895779
124,15486.0,0.8804413892590007,0.7387287475572484,lossguide,0.09036800876026112,53,6,0.017101465529016056,59,0.8014634844677256
125,19622.0,0.6723868718711246,0.2969540018109569,lossguide,0.7440280844001329,11,1,0.013031252086442114,59,0.6637016500325542
126,24100.0,0.814983910844003,0.17666423507434967,lossguide,0.480908501027431,84,3,0.009534113663950213,1,0.7852156086229944
127,17458.0,0.9249726597086594,0.17639084530347343,lossguide,0.5651332734116541,52,9,0.023259514388820277,59,0.7761155652726355
128,18422.0,0.9949092126489192,0.39042216655403805,depthwise,0.7271038676793345,44,3,0.023326804100440194,59,0.87592898095375
129,8620.0,0.7452004800123693,0.5348433688800242,lossguide,0.20771276117768445,3,8,0.031219010063673176,59,0.9457402704439816
130,25604.0,0.8262159374138831,0.18997668450077296,depthwise,0.4120885811630268,86,5,0.03606918861769432,1,0.5107624026370989
131,17824.0,0.7801917701835098,0.26963633675011195,lossguide,0.3562957104069456,99,7,0.010409721920439576,59,0.9739851056088404
132,17486.0,0.8574338330650477,0.6624989195712376,lossguide,0.5253286468083047,7,9,0.011683306961962504,59,0.9149039152995365
133,25078.0,0.723035998072749,0.5975653178865661,depthwise,0.2913044677414273,65,6,0.005098362971289872,1,0.909662663355127
134,24616.0,0.9056288132000657,0.5059426624320297,depthwise,0.4832010518511557,73,5,0.04238012444951539,1,0.7967407040983185
135,18324.0,0.9265826827746353,0.366353111546108,lossguide,0.5990953288033546,75,10,0.04147985074696667,59,0.8967816264736816
136,16426.0,0.9401871967057114,0.691791448165516,depthwise,0.24496558187128012,31,6,0.045481776247577856,59,0.981631264220356
137,17336.0,0.8088391153453639,0.17766880418746595,depthwise,0.43755761755266975,20,8,0.011336484649290896,59,0.7416537290301009
138,23226.0,0.6549501207468427,0.7300401750642724,lossguide,0.7415759542652122,9,5,0.030834253357761812,59,0.5019044788596514
139,14990.0,0.9464443542625757,0.36766212132988446,depthwise,0.18249687581314686,41,9,0.0385441955250944,59,0.5372655295112583
140,24010.0,0.9794109702084285,0.7421294716731947,lossguide,0.7355232789792385,90,7,0.03743063871101422,1,0.9633621052769736
141,18390.0,0.6726929066185214,0.25016002443818286,depthwise,0.45741775029546516,94,2,0.012401677918861537,59,0.8763689691517825
142,18726.0,0.8789247915399168,0.3055423201063363,lossguide,0.4882798834179349,16,1,0.014455328157040221,59,0.5795170190339942
143,17782.0,0.6613404984183733,0.4990599065674362,depthwise,0.023746389611283045,87,2,0.025094756836830455,59,0.7528310828384484
144,19406.0,0.985977044839013,0.4438469320681605,depthwise,0.5052323411553566,89,1,0.04024599010033088,59,0.79100708997354
145,16386.0,0.8730791974845008,0.6959598674443236,depthwise,0.19466743769963987,79,9,0.007519710229736097,59,0.7907910695442703
146,15978.0,0.7007397917347703,0.5850705738222631,lossguide,0.2561252126133453,15,6,0.006785364500816082,59,0.5880981277875277
147,19294.0,0.6936481578931475,0.24438095589799363,lossguide,0.7281980403532501,85,3,0.0344537378053642,59,0.9619603712837698
148,16258.0,0.8919466365281017,0.4174373938474972,lossguide,0.15686886489804217,71,6,0.043646118820005554,59,0.8214063773552625
149,18416.0,0.7151236354106322,0.7345695190682342,depthwise,0.2877479728117812,36,2,0.0189538335655151,59,0.9171389945257519
150,24206.0,0.8824214824235673,0.4187430947181466,depthwise,0.4721168251029833,18,1,0.022995847410626206,1,0.5869778333402322
151,13058.0,0.8228414168063879,0.18176613526133156,lossguide,0.022579783077741444,12,6,0.017101465529016056,59,0.8014634844677256
152,51428.0,0.7279118963572454,0.5158194014738614,depthwise,0.04489569426194298,2,9,0.02720050594069691,1,0.5324602540712586
153,18198.0,0.6613404984183733,0.6770212199652826,lossguide,0.023315397326795897,99,2,0.024979208533944305,59,0.7738687913799152
154,16888.0,0.6896960728495861,0.6640242768558552,lossguide,0.07045359929035133,15,2,0.006018911104510964,59,0.5880981277875277
